WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (457480.555489283 340103.171897512,457465.297682519 340102.534261187,457432.952202566 340099.757670884,457426.241894962 340099.032627352,457400.989371542 340096.440686865,457360.917382082 340092.504737073,457352.028579421 340091.909695313,457344.623393742 340091.42128234)",tertiary,Lower Parliament Street,,,,,,,yes,,,,,yes,,,,,no,,,,
"LINESTRING (457344.623393742 340091.42128234,457337.692543788 340091.161022429)",unclassified,Upper Parliament Street,,,,,,no,yes,,,,,yes,,,,,,,,,
"LINESTRING (457293.441895501 340086.041234912,457295.460165848 340063.157456041,457296.156585528 340055.989670758,457298.193685167 340042.852184603)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457275.805234878 340037.813850314,457298.193685167 340042.852184603,457308.999307327 340044.994072855)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457272.779574866 340052.16344859,457296.156585528 340055.989670758)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457043.136923005 340050.003284244,457052.858249777 340051.79802758)",primary,Upper Parliament Street,asphalt,30 mph,yes,,,,,both,A6008,,2,,,,,,,,,,
"LINESTRING (457004.321614627 340042.580570007,457028.82793092 340047.520252492,457043.136923005 340050.003284244)",primary,Upper Parliament Street,asphalt,30 mph,yes,,,,,both,A6008,,2,,,,,,,,,,
"LINESTRING (456960.067717296 340094.10442094,456960.636252479 340101.73218272)",service,,,,,,,private,destination,,,,,,,,,,,,,,
"LINESTRING (455638.93432686 339958.054819501,455669.576578718 339967.675328561,455683.916465216 339972.212898878,455692.807638532 339974.96324848,455731.50361115 339987.102357215,455742.965119198 339990.69461212,455774.343389267 340000.546796676)",residential,Ashburnham Avenue,asphalt,,yes,,,,,,,yes,,,,,,,,,,,cushion
"LINESTRING (455447.258132792 339966.432146472,455416.662441448 339953.887567514,455413.994778808 339959.764652895,455400.352880552 339955.85892389)",residential,Stansfield Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455381.719485175 339982.958608003,455384.040983137 339983.830757014,455402.633856718 339990.741475996)",residential,Stansfield Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455304.451770329 339958.231623366,455353.972901306 339980.359958863)",residential,Cobden Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455216.311766118 339981.143678696,455234.493985569 339935.825674028,455271.741587078 339949.001441388,455294.021250944 339958.457156811)",unclassified,Salisbury Square,,20 mph,,,,,,,,,,,,,,,,NG7 2AB,,,
"LINESTRING (455007.273434904 339994.45786226,455010.667468848 339983.159560424)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (455004.643375467 339965.201103223,455000.467177366 339980.284319586)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (454991.671783299 339989.75219731,454995.062365423 339978.754235749)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (455021.124388914 339995.360957323,455020.464772103 339984.25014654,455018.282672626 339947.522109198,455016.340048685 339941.692455417,455007.585733379 339939.278685178,454991.567004068 339935.191307475)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (454977.996732233 339973.976328288,454995.062365423 339978.754235749,455000.467177366 339980.284319586,455010.667468848 339983.159560424,455015.114493694 339984.422870293,455020.464772103 339984.25014654)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (454974.91647385 339984.276921755,454977.996732233 339973.976328288,454982.390513448 339959.251586917)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (454665.357390346 339960.728194093,454677.131334761 339953.996936785,454687.290468786 339946.279511984,454694.507487377 339937.304999862,454698.512707621 339931.309164807)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454243.080663115 339962.044501689,454243.120597364 339962.07832648,454233.162569492 339978.28770195,454189.067032126 339975.801584168,454189.461171255 339967.016844863)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455593.934335795 339943.674447788,455610.754451592 339948.729857166,455638.93432686 339958.054819501)",residential,Ashburnham Avenue,asphalt,,yes,,,,,,,yes,,,,,,,,,,,yes
"LINESTRING (455004.836718948 339948.214588279,455007.585733379 339939.278685178)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (454989.44938936 339943.555875209,454991.567004068 339935.191307475)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (454929.596363318 339984.918625932,454941.44158476 339952.44430002,454949.236788774 339931.071748241,454965.707785953 339902.488393361,454972.7387892 339892.789011447,455000.248574411 339900.90103209,455026.285074545 339908.573664717,455046.917760595 339913.43687159)",service,Derwent Way,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (454991.567004068 339935.191307475,455000.248574411 339900.90103209)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455025.227758598 339877.510215043,454985.229209126 339867.431353071)",service,,asphalt,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (454804.349909772 339924.308729305,454810.202624432 339927.234369879,454822.497376595 339931.479154488)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454774.531547279 339926.607419367,454800.879836451 339934.649508554,454804.349909772 339924.308729305,454806.734738766 339914.867939037,454782.657738614 339906.79593882)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (454698.512707621 339931.309164807,454685.021435136 339922.945835356,454661.867016526 339950.319712918,454665.357390346 339960.728194093)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454469.267582298 339926.973176364,454488.550154563 339829.931183264)",residential,Calver Close,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454401.422329924 339842.489394928,454384.506802298 339839.806895141)",trunk,,,40 mph,,,,,,,,,,,,,,,,,,residential,
"LINESTRING (454421.369870944 339738.211933906,454420.571821173 339740.461428745,454420.347641272 339741.871845834,454420.567334251 339743.843537185,454420.623153969 339746.047019277,454414.968169757 339764.907860345,454394.111275723 339809.70918949,454380.816566201 339834.558625077,454376.347726117 339838.791668437,454376.333542313 339840.649471159)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,3,track,,no,,,,,
"LINESTRING (454447.350581163 339742.042473942,454431.247012899 339741.215800739)",trunk,,,40 mph,,,,,,,,,,,,,,,,,,residential,
"LINESTRING (454317.714905516 339910.058814542,454331.555835568 339913.674437606,454334.616675672 339914.543264037,454336.110332806 339914.960576366,454339.181319544 339916.719561619,454335.93408745 339928.843246981)",residential,Harrow Road,asphalt,20 mph,yes,,yes,,,,,yes,1,,,opposite_lane,,,,,,residential,cushion
"LINESTRING (454317.714905516 339910.058814542,454324.346496037 339910.667380225,454330.32450783 339912.036268405,454333.532380449 339911.182291128,454340.668926679 339908.1140085)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,3,track,,no,,,,,
"LINESTRING (454047.753612586 339875.491307276,454074.228141214 339877.178145264,454114.395674584 339880.709511737,454133.613452718 339882.404430221,454178.538779921 339886.468025302,454194.059257173 339887.721219251,454204.372697958 339889.550212971,454251.852037657 339894.733440387,454317.714905516 339910.058814542)",residential,Harrow Road,asphalt,20 mph,yes,,,,,,,yes,,,,,,,,,,residential,cushion
"LINESTRING (456946.7088428 340108.499292571,456905.202629545 340111.65951008)",service,,,,,,yes,private,,,,,,,,,-1,,,,,,
"LINESTRING (456905.202629545 340111.65951008,456893.566292106 340112.735178775)",service,,,,,,yes,private,,,,,,,,,-1,,,,,,
"LINESTRING (456893.695623519 340082.920008207,456888.071534815 340097.216981795)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456885.889904355 340152.975216298,456892.961491539 340153.258736602,456909.133527389 340152.703763236)",service,,,,,,,,,,,,,,,,1,,,,yes,,
"LINESTRING (456896.29616881 340097.158060462,456895.137315329 340105.989292603,456893.566292106 340112.735178775,456891.260550612 340121.96455644,456886.11531697 340136.111411443,456880.27283907 340151.273621978)",unclassified,Hanley Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456880.27283907 340151.273621978,456885.889904355 340152.975216298)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456880.27283907 340151.273621978,456872.656544193 340171.009846688)",unclassified,Hanley Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456864.217210745 340236.707510777,456865.330807742 340233.427429246,456869.288687897 340223.104921258,456871.795505582 340217.905379155,456873.923984903 340214.02533529,456880.061721491 340201.16959915,456887.069212451 340185.776340352,456887.760396728 340182.424536764,456888.074110426 340179.74695271,456887.294276755 340169.513314711)",unclassified,Stanley Place,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456776.465741762 340102.201417794,456788.730062274 340100.287299368,456812.01033251 340097.490286791,456829.902034918 340096.41010794,456850.402937429 340096.851527334,456864.21840657 340097.303358272,456867.307888957 340097.406470948,456888.071534815 340097.216981795,456896.29616881 340097.158060462,456926.473502244 340096.356425159,456929.525691219 340096.203248772,456945.799055676 340095.048804386,456953.061551744 340094.533615505,456960.067717296 340094.10442094,456983.768927171 340092.659399003,457013.366657399 340090.30500777,457033.283185267 340089.026960958,457056.422277061 340088.532465263,457062.727165119 340088.317651556)",unclassified,Wollaton Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456749.197358707 340181.9855993,456763.513373714 340132.945108783,456765.021394852 340126.398704652,456768.694502793 340116.284159662,456773.255154761 340104.399945126)",tertiary,Clarendon Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456664.690385694 340190.995761829,456664.663327397 340182.41758864,456664.596036262 340162.946958465,456663.940686817 340159.245566227,456663.184305821 340157.857118944,456661.766049151 340156.761302065,456659.900497783 340155.994009245,456633.541435634 340164.118212674)",service,,,,,,,private,,,,,,,,,-1,,,,,,
"LINESTRING (456606.438628097 340156.591222595,456601.746636762 340143.018629164,456630.871699336 340132.790548661)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456456.827114052 340163.819207575,456475.300156296 340177.35244473,456521.705110301 340203.339334141,456529.176072585 340206.808920687,456533.407857324 340207.470340165,456535.614374729 340207.807674478,456553.168680559 340207.957473618,456581.565802924 340208.212043644,456596.42077708 340207.651728681,456614.985203264 340204.164380653,456654.142725213 340193.219584669,456664.690385694 340190.995761829,456669.142490214 340190.057794368,456676.277171211 340188.39475351,456678.073837013 340188.159938763,456704.092665633 340185.550296785,456749.197358707 340181.9855993,456793.859743926 340177.759711376,456856.585255389 340172.144659492,456872.656544193 340171.009846688,456887.294276755 340169.513314711,456964.302183859 340162.933017302,456981.992890117 340163.497630978,457003.659653881 340167.03525805,457018.429494717 340170.291329201,457026.156166008 340171.995731918,457028.152839901 340172.464322932)",tertiary,Talbot Street,asphalt,,yes,,yes,,,both,,,,,,,,,,,,,
"LINESTRING (456456.827114052 340163.819207575,456524.357197929 340165.58776029,456547.561780752 340165.770259989,456570.108120875 340164.788100485,456591.377390936 340161.554839385,456606.438628097 340156.591222595,456628.217646824 340149.425624611,456630.166942026 340148.780932561,456664.617514907 340136.479353113,456671.869675294 340133.972134781,456731.965155013 340114.907104925,456739.351668894 340112.980096864,456745.023543084 340111.166471139,456756.348227752 340109.16335699)",primary,Wollaton Street,asphalt,30 mph,yes,,yes,,,both,A610,,3,,,,,,,,,,
"LINESTRING (456756.348227752 340109.16335699,456762.198100442 340107.641108325,456773.255154761 340104.399945126,456776.465741762 340102.201417794)",primary,Wollaton Street,,30 mph,yes,,yes,,,both,A610,,3,,,,,,,,,,
"LINESTRING (456765.021394852 340126.398704652,456760.17573139 340117.36340041,456756.348227752 340109.16335699)",tertiary,Clarendon Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456731.965155013 340114.907104925,456738.313537653 340107.549727162,456741.009473194 340102.830742074,456741.691273784 340089.398992885)",tertiary,Vernon Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456704.852160668 340100.793075715,456680.46224177 340112.277824712,456674.706119781 340116.693933491,456667.292111189 340122.114163048)",service,Regent Court,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (456653.991058235 340087.535518831,456667.292111189 340122.114163048,456671.869675294 340133.972134781)",unclassified,Derby Street,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456565.804141082 340199.560902178,456571.820059325 340199.90947354,456581.026349453 340199.772506311,456581.565802924 340208.212043644)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456552.232982654 340197.777706138,456553.168680559 340207.957473618)",service,,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (456561.01834272 340198.014045184,456560.427303845 340197.996001021,456552.232982654 340197.777706138,456544.810951188 340197.590714031,456540.062355832 340197.457266924,456535.125530866 340197.332747745,456523.115268505 340196.513574865)",service,,concrete,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (456535.125530866 340197.332747745,456533.407857324 340207.470340165)",service,,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (456581.026349453 340199.772506311,456592.902745328 340199.399814387,456599.633402225 340197.809808138,456595.440372788 340173.762729682)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456583.444571961 340179.162798507,456565.920332008 340181.026980172,456565.626119746 340191.236854613,456565.804141082 340199.560902178)",service,,,,,parking_aisle,,,,,,,,,,,1,,,,,,
"LINESTRING (456377.114114933 340197.900794433,456396.883027666 340184.458114147,456416.239981159 340172.35690241,456426.185539193 340168.178547015,456433.743685843 340165.919310397,456439.623592299 340164.686290238,456445.563403538 340164.077011371,456446.872479846 340164.170183115,456449.220267722 340163.91947018,456452.593161842 340163.914372675,456456.827114052 340163.819207575)",primary,Canning Circus,asphalt,,yes,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (456426.185539193 340168.178547015,456427.253718943 340163.585017129,456428.371913687 340158.73618245,456428.930816984 340156.328451361,456428.532792409 340154.165434191)",cycleway,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456450.181103295 340142.636269913,456443.666330544 340147.600067812,456433.309975915 340152.430001496,456428.532792409 340154.165434191,456419.973555832 340158.148585611,456408.712497048 340165.660405957,456391.271520996 340178.240158082,456382.246590311 340185.288609219,456367.815212056 340197.914688704)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,left,A610,,,,,,,,,,,,
"LINESTRING (456524.850470776 340096.425570897,456521.493819086 340086.996286368,456513.554485509 340089.662577793,456503.697629456 340093.129754727)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456480.339745761 340099.710054123,456491.416380559 340096.501853748)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456405.112099895 340102.84767402,456421.128947714 340118.465890904,456441.830402353 340114.958323933,456448.943695375 340112.827420817,456459.212434065 340109.754342383)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456367.815212056 340197.914688704,456377.114114933 340197.900794433)",primary,Canning Circus,asphalt,30 mph,yes,,yes,,,none,,,1,,,,,,,,,,
"LINESTRING (456339.256788348 340228.777830075,456362.33343131 340211.101345844,456365.061371503 340208.785663048,456377.114114933 340197.900794433)",primary,Alfreton Road,asphalt,,yes,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (456349.691612289 340214.892366356,456339.256788348 340228.777830075)",primary,Canning Circus,asphalt,,,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (456367.815212056 340197.914688704,456361.128861125 340203.777768523,456349.691612289 340214.892366356)",primary,Alfreton Road,asphalt,,yes,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (456352.790810624 340189.384107898,456357.201850952 340191.961067686,456359.945495181 340193.483900846,456367.815212056 340197.914688704)",primary,St Helen's Street,asphalt,30 mph,yes,,yes,,,left,,,2,,,,,,,,,,
